SVM_pvector;Shap;Permutation;LRC_perturbation;LRC_covariance
Rb ka + Br kb;K ka;K ka;K ka;K ka
K ka;Rb ka + Br kb;Rb ka + Br kb;Rb ka + Br kb;Rb ka + Br kb
Fe ka;Fe ka;Fe ka;Rh ka Compton;background2
K kb + Ca ka;K kb + Ca ka;K kb + Ca ka;Fe ka;Rh ka Compton
background2;Rh ka Compton;Rh ka Compton;Rh kb Compton;Rb kb
Rh ka Compton;background2;Rh ka Rayleigh;Rh ka Rayleigh;K kb + Ca ka
Rh kb Rayleigh;Cl;Cl;K kb + Ca ka;Cu
Rh ka Rayleigh;Cu;background2;background2;Rh kb Compton
Cu;background3;background3;background3;Sr ka
Ca kb;S;Rh kb Compton;Br ka;Br ka
Rb kb;Sr ka;Ca kb;Cl;Cl
Rh kb Compton;Rb kb;Sr ka;Rb kb;Rh ka Rayleigh
Cl;Rh kb Compton;Rh kb Rayleigh;Rh kb Rayleigh;Rh kb Rayleigh
background3;Rh ka Rayleigh;Br ka;Cu;background3
background1;Rh kb Rayleigh;Cu;background1;Fe ka
Br ka;Mn;Rb kb;Zn;Ca kb
Sr ka;background1;Zn;Sr ka;Zn
Mn;Fe kb;background1;Ca kb;Fe kb
Zn;Ca kb;Fe kb;Mn;S
Fe kb;Br ka;S;S;background1
S;Zn;Mn;Fe kb;Mn
;;;;
